id,country,pop,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
0,Indonesia,279134505,IDN,2021-01-12,0.0,0.0,,,,,0.0,0.0,,,,,
1,Indonesia,279134505,IDN,2021-01-13,,,,,,13200.0,,,,,48.0,13200.0,0.005
2,Indonesia,279134505,IDN,2021-01-14,,,,,,13200.0,,,,,48.0,13200.0,0.005
3,Indonesia,279134505,IDN,2021-01-15,,,,,,13200.0,,,,,48.0,13200.0,0.005
4,Indonesia,279134505,IDN,2021-01-16,,,,,,13200.0,,,,,48.0,13200.0,0.005
5,Indonesia,279134505,IDN,2021-01-17,,,,,,13200.0,,,,,48.0,13200.0,0.005
6,Indonesia,279134505,IDN,2021-01-18,,,,,,13200.0,,,,,48.0,13200.0,0.005
7,Indonesia,279134505,IDN,2021-01-19,,,,,,13200.0,,,,,48.0,13200.0,0.005
8,Indonesia,279134505,IDN,2021-01-20,,,,,,13200.0,,,,,48.0,13200.0,0.005
9,Indonesia,279134505,IDN,2021-01-21,,,,,,13200.0,,,,,48.0,13200.0,0.005
10,Indonesia,279134505,IDN,2021-01-22,132000.0,132000.0,,,,13200.0,0.05,0.05,,,48.0,13200.0,0.005
11,Indonesia,279134505,IDN,2021-01-23,,,,,,12546.0,,,,,45.0,12546.0,0.005
12,Indonesia,279134505,IDN,2021-01-24,149242.0,149242.0,,,,11892.0,0.05,0.05,,,43.0,11892.0,0.004
13,Indonesia,279134505,IDN,2021-01-25,161959.0,161959.0,,,12717.0,11823.0,0.06,0.06,,,43.0,11823.0,0.004
14,Indonesia,279134505,IDN,2021-01-26,245685.0,245685.0,,,83726.0,21898.0,0.09,0.09,,,79.0,21898.0,0.008
15,Indonesia,279134505,IDN,2021-01-27,308003.0,308003.0,,,62318.0,28915.0,0.11,0.11,,,105.0,28915.0,0.01
